Internet users (per 100 people),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Lesotho,0,,,,,,0.00284594,0.005584433,0.010956533,0.05380446,0.21180607,0.261150063,1.083943137,1.53249659,2.175524339,2.580245484,2.979708187,3.44543126,3.58,3.72,3.86,4.2248
Liberia,0,,,,,,,0.004489443,0.004099387,0.011328732,0.017702706,0.033812227,0.032713307,0.031868935,0.031011185,,,0.551376581,0.53,0.51,2.3,3
Libya,0,,,,,,,,,0.133617289,0.187042622,0.366533175,2.244418222,2.814517987,3.532838162,3.917787977,4.301051789,4.721999379,9,10.8,14,16.9981
Liechtenstein,0,,,,,,,,,,36.51522989,45.11685265,59.47071067,58.80969184,64.00744814,63.37135615,64.21416136,65.08021844,70,75,80,85
Lithuania,0,,,,,,0.277608544,0.978967042,1.972333219,2.922635016,6.427971077,7.175913006,17.65599754,25.85723045,31.19790272,36.2353184,43.9493184,49.95062999,55.24769127,59.78936591,62.81533985,67.17191353
Luxembourg,0,,0.152653068,0.30116992,0.495104818,1.586647487,5.540287981,7.141086355,11.75982428,17.39502648,22.84488963,35.99830058,39.5459604,53.91104887,64.84353996,68.80197696,71.42826495,78.21645082,81.91548476,87.28439193,90.70848335,90.70382493
"Macao, China",0,,,,0.036993376,0.280014086,0.727273598,2.364127672,7.003324245,9.212005085,13.60858974,22.52121677,25.17188016,25.74212398,31.48409738,34.86292717,46.4,47.327,49.24,54,53.8,58
"Macedonia, FYR",0,,,,,0.04074384,0.075995734,0.503985009,1.002861666,1.49733026,2.485566316,3.468184608,17.33,19.07,24.44,26.45,28.62,36.3,46.04,51.77,51.9,56.7
Madagascar,0,,,,,,0.003695196,0.014333647,0.062561023,0.168608781,0.196394691,0.222511586,0.339720155,0.423252419,0.525353655,0.567721802,0.607552239,0.65,1.65,1.63,1.7,1.9
Malawi,0,,,,,,,0.004668518,0.018057365,0.087278755,0.126780945,0.164020725,0.215094727,0.278815116,0.347505335,0.384489334,0.42513749,0.965864737,0.7,1.07,2.26,3.33
Malaysia,0,,0.001047822,0.025538478,0.099607417,0.145673837,0.852044466,2.307393234,6.751770483,12.3055022,21.38473116,26.6959725,32.33820434,34.97115234,42.25226563,48.62917025,51.63798899,55.7,55.8,55.9,56.3,61
Maldives,0,0,0,0,0,0,0.22693009,0.309444238,0.569627464,1.119908615,2.203872939,3.617290649,5.347765169,5.97659285,6.588254875,6.869605067,11.03635278,16.3,23.2,24.8,28.3,34
Mali,0,,,,,,0.002055228,0.010085919,0.019793888,0.060909873,0.142545755,0.185897413,0.227045578,0.310364443,0.43281964,0.507063136,0.729627281,0.81,1.57,1.8,1.9,2
Malta,0,,,,,0.234800726,1.098335764,4.090526998,6.774804104,8.08664803,13.66585147,18.18343313,29.37830103,32.13256163,35.13032552,41.7973732,40.87494449,47.30794573,50.32265003,59.03473554,63.07875095,69.03084272
Marshall Islands,0,0,0,0,0,0,0.037059432,,,0.966071567,1.534271796,1.706614078,2.335444575,2.569750367,3.599776814,3.878702398,3.795590214,3.71082549,3.626772173,3.546042133,,
Martinique,,,,,,,,,,,,,,,,,,,,,,
Mauritania,0,,,,,,,0.004172527,0.040594795,0.118464464,0.192031462,0.261448552,0.363229415,0.424004896,0.481470438,0.669966475,0.979661253,1.433613196,1.87,2.28,4,4.5
Mauritius,0,,,,,,0.186435279,0.481471192,2.594084678,4.688642667,7.337695439,8.842361807,10.3436041,12.29457462,13.82541499,15.33684383,16.88645053,20.46459981,22.07277253,22.80265796,28.73358822,35.50825383
Mayotte,,,,,,,,,,,,,,,,,,,,,,
Mexico,0,0.005880695,0.01730781,0.028305042,0.043339167,0.10256419,0.20040628,0.62731154,1.265783278,1.857436221,5.081384153,7.038023117,11.9,12.9,14.1,17.21,19.52,20.81,21.71,26.34,31.05,36.15
"Micronesia, Fed. Sts.",0,,,,,,0.278037795,0.570676845,1.858718785,2.797594069,3.734862137,4.660527199,5.570099705,9.2325021,11.01786731,11.8813691,12.75033925,13.62113273,14.49,15.35,20,
Moldova,0,,,,0.00097444,0.004081523,0.005454152,0.032807508,0.301412074,0.686360664,1.447502179,1.655275796,4.148664062,7.988892868,11.28997062,15.32896378,20.32897349,20.99105623,23.81554111,27.78729362,32.3981406,37.84906772
Monaco,0,,,,,,,,,,42.18486345,46.64614236,48.04711717,49.49116892,52.49019668,55.46482606,61.47603971,64.3776824,67.25,70.1,75,
Mongolia,0,,,,,0.008811225,0.018160749,0.112742554,0.145810542,0.50847156,1.255652004,1.653238239,2.039572603,,,,,,12.49,12.6,12.9,20
Montenegro,,,,,,,,,,,,,,,25.3500686,27.1,28.9,30.8,32.9,35.1,37.5,40
Montserrat,,,,,,,,,,,,,,,,,,,,,,
Morocco,0,,,,,0.003710492,0.005675444,0.021635203,0.142300767,0.175595345,0.693791245,1.371438101,2.373253192,3.353366681,11.60793477,15.08444452,19.77119157,21.5,33.1,41.3,49,51
Mozambique,0,,,,,,0.003042979,0.011842611,0.020197055,0.056250629,0.10959253,0.160031947,0.259612611,0.419538844,0.679447835,0.854357118,0.842954488,0.91,1.56,2.68,4.17,4.3
Myanmar,0,,,,,,,,,0.000151709,,0.000289277,0.000426494,0.024064149,0.024337392,0.065238856,0.182048331,0.217128445,0.22,0.22,0.25,0.98
Namibia,0,,,,,0.006172051,0.009032145,0.058750679,0.286745093,0.336217708,1.644739547,2.416979442,2.633699769,3.359839886,3.804715615,4.010046644,4.398870647,4.835610778,5.329003772,6.5,11.6,12
Nauru,,,,,,,,,,,,,,,,,,,,,,
Nepal,0,0,0,0,0,0.000924878,0.004510473,0.021998858,0.064393596,0.146668869,0.204651684,0.240015303,0.31295606,0.382810917,0.449843651,0.826551266,1.141389164,1.41,1.73,1.97,7.93,9
Netherlands,0.333049731,0.528847182,1.312926711,1.95708452,3.24402663,6.457731209,9.640758661,14.06115677,22.22045548,39.08543615,43.81121466,49.08772556,60.89910706,64.00260372,68.28143505,80.92847424,83.86312848,86.14368812,87.72655698,89.78659127,90.70686325,92.12721944
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,0,,,,,0.005118796,0.250564546,0.97854581,1.923841033,5.6520958,13.8568516,18.11878726,22.21299596,26.14639786,29.92799253,31.90164011,33.02617462,34.5476745,34.35809009,34.17269729,42.65805668,51.16787149
New Zealand,0,,0.28362769,0.629860239,3.171713375,4.886447956,8.01031358,14.48888804,31.3747952,41.30261761,47.38363411,53.60226666,59.28242237,60.86518933,61.72098203,62.72350473,69.00499618,69.82864966,72.18032333,79.82609287,83.00638491,86.18173386
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,0,,,,0.013166228,0.030046478,0.084093291,0.206216818,0.303808975,0.497901643,0.980216487,1.448799428,1.714729584,1.880412532,2.320664609,2.566351177,2.805573063,3.9,5.3,7.3,10,10.6
Niger,0,,,,,,0.001039305,0.002008766,0.002911503,0.028136022,0.036261294,0.105185431,0.127152469,0.155698704,0.189933734,0.221341351,0.294033977,0.39039062,0.7,0.76,0.83,1.3
Nigeria,0,,,,,,0.00883298,0.017237401,0.025231461,0.041038723,0.064080808,0.08990137,0.320461976,0.558576245,1.286137641,3.549155718,5.545036083,6.77,15.86,20,24,28.43
Niue,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,0,,,,,,,,,,,,,,,,,,,,,
Norway,0.707301449,1.407791446,2.215962001,2.78229798,4.149882188,6.423090825,18.26615204,20.45002513,22.59974007,40.03362683,51.99874949,64.00286414,72.79891056,78.02396917,77.60770654,81.99012414,82.69391016,87.16744835,90.77413434,92.18060916,93.27270026,93.454759
Oman,0,,,,,,0,0.439792805,0.862725306,2.515665987,3.520421417,5.893841521,6.873396039,7.255742945,6.75885217,6.68358142,8.299716673,16.68,20,51.5,62,68
Pakistan,0,,,,,0.000122702,0.00299173,0.027549238,0.043947719,0.055357238,,1.318550779,2.577426737,5.041158126,6.164320985,6.332329098,6.5,6.8,7,7.5,8,9
Palau,0,,,,,,,,,,,,20.24393947,21.60152718,26.97033263,,,,,,,
Panama,0,,,,0.007636899,0.056123043,0.219998526,0.539065541,2.750648071,3.836864509,6.554796477,7.268399878,8.518077815,9.987424077,11.14086254,11.48400928,17.34956617,22.29,33.82,39.08,40.1,42.7
Papua New Guinea,0,,,,,,0.002067023,0.100588321,0.234958542,0.667113315,0.835249302,0.904103545,1.321656935,1.374404668,1.507912772,1.716190476,1.754487261,1.790559361,1.15,1.61,1.28,2
Paraguay,0,,,,,,0.020359612,0.099576719,0.194904951,0.38165732,0.747630712,1.098793836,1.794969598,2.111942082,3.452438431,7.907007861,7.962073884,11.21,14.27,18.9,19.8,23.9
Peru,0,,,,0.008504578,0.033412305,0.24623258,0.403429701,1.19038044,1.952497608,3.076430611,7.578762957,8.96694917,11.6,14.1,17.1,20.7,25.2,30.57,31.4,34.77,36.5
Philippines,0,,,,0.005844253,0.028585702,0.055946029,0.136912963,1.103405994,1.431608803,1.982253196,2.52400566,4.332275746,4.857672267,5.243628452,5.397636329,5.740586325,5.97,6.22,9,25,29
Pitcairn,,,,,,,,,,,,,,,,,,,,,,
Poland,0,0.00521778,0.051969631,0.129471345,0.387300057,0.644341626,1.287640924,2.059487886,4.070753241,5.410683316,7.256761026,9.905519079,21.15007358,24.86582143,32.52396126,38.80958816,44.61396921,48.68822581,53.2591859,59.12089658,62.47174876,65.02082403
Portugal,0,0.100013928,0.250730833,0.452217023,0.724185184,1.508423207,3.013829301,5.011980311,9.99034618,14.91874677,16.60781065,18.23958831,19.47247505,29.74028281,31.79296078,34.9708921,37.985889,39.6188833,41.94811883,46.60799214,51.2836312,55.57378621
Puerto Rico,0,,,,0.027400726,0.135781947,0.268710333,1.332257193,2.650404892,5.270245683,10.48495077,15.6237155,17.49783662,19.59054282,21.9311967,23.15893213,25.22767756,27.73045046,37.98095385,41.6460773,45.62899289,48.50290906
Qatar,0,,,,,0.190209535,0.930185833,3.083749186,3.52002985,4.070728915,4.863679179,6.170268561,10.22612893,19.24233642,20.70164785,24.73349378,28.97411271,37,44.3,53.1,81.6,86.2
Reunion,,,,,,,,,,,,,,,,,,,,,,
Romania,0,,,0.003733426,0.026392708,0.074941799,0.221116883,0.443696312,2.224248934,2.674850335,3.573255456,4.532114281,6.642667618,8.975030615,15.11093485,21.63652475,24.79423276,28.42873181,32.53441082,36.69681099,40.02009301,44.11568536
Russia,0,,0.000673476,0.013485769,0.054009895,0.148708662,0.271063844,0.475645661,0.817448409,1.025794084,1.983372736,2.948647908,4.134521083,8.314989062,12.90027873,15.30040359,18.15102886,24.86729897,27.05928829,29.23584146,43.31455082,49.31263436
Rwanda,0,,,,,,0.000883372,0.001625791,0.011763573,0.067176482,0.06283146,0.24067241,0.292784719,0.356918467,0.430854243,0.556041165,,2.115387178,4.5,7.7,8,7
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,0,,,,,,2.080955205,2.456031482,3.74026839,4.735627372,6.100706415,7.812434268,21.42273012,23.56628073,24.73767754,34,49,52,60,69,76,
St. Lucia,0,,,,,0.309082365,0.679401751,1.001535568,1.315466535,1.950973949,5.126770281,8.23171261,14.76678543,21.16993361,21.55287682,21.69161,24.59055695,27.97541078,32.05504576,36.01837907,40.06137931,42.0105
St. Martin,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,0,,,,,0.128634622,0.483248317,0.926371957,1.853997683,2.7820023,3.245037411,5.094809778,5.54959488,6.462274167,7.371165842,9.198278082,12,16,21,31,38.5,43.01
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,
Samoa,0,,,,,,,0.174571863,0.230359015,0.285308333,0.566392533,1.689902831,2.244832676,2.799630449,3.07552941,3.352592112,4.469173873,4.749983235,5.031615316,6,7,
San Marino,0,,,,,1.362132711,1.428075186,1.41854848,1.408557941,42.80331575,48.79949531,50.34166909,50.83483994,50.00345304,50.56634304,50.2595642,50.20865936,50.36482211,54.52,54.21,,49.6
Sao Tome and Principe,0,,,,,,,,0.295847047,0.363203161,4.638516816,6.310917888,7.580665169,10.16184431,13.32285269,13.75948422,14.18201978,14.5904832,15.48,16.41,18.75,20.1612
Saudi Arabia,0,,,,,0.010956134,0.026732651,0.052099031,0.101429893,0.49358534,2.210691809,4.681053166,6.38470502,8.001582891,10.234533,12.70503599,19.45955435,30,36,38,41,47.5
Senegal,0,,,,,0.000692848,0.011238219,0.027347441,0.079871379,0.311090952,0.403967486,0.983794059,1.006454537,2.10143643,4.38602398,4.786684083,5.611738652,7.7,10.6,14.5,16,17.5
Serbia,,,,,,,,,,,,,,,31.1589653,28.70783781,29.73058752,36.36576034,39.25871753,42.23832282,45.55881537,47.19296149
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,
Seychelles,0,,,,,,0.643605477,1.264969094,2.467000767,6.027642759,7.172660047,10.80240273,13.78122265,14.39159303,24.31068044,25.60118532,34.82430972,38.35382146,39.79449285,,40.99668304,43.60518074
Sierra Leone,0,,,0,0,0,0.002506116,0.004987835,0.014805065,0.048490656,0.118254246,0.160264445,0.176198957,0.190173282,0.203007681,0.21539161,0.227669467,0.239834699,0.25,0.26,,
Singapore,0,0.159668763,0.465530877,0.757270506,1.173586096,2.838503974,8.135760868,13.02691853,18.76299339,23.45978207,35.02937014,40.08896306,45.38175263,53.46177899,61.90265582,61.00284566,59.11467828,67.94507954,68.04209282,68.41958156,71.13591073,75.06124486
Slovak Republic,0,,,0.12807441,0.318952707,0.52388296,0.784375534,1.174820469,2.692819689,5.443129367,9.455011607,12.59395334,40.357197,43.27661728,53.17399285,55.4819322,56.39946844,62.18536562,66.47364349,70.43119335,76.15644383,74.87106781
Slovenia,0,,,0.40166011,1.055577761,2.864505858,5.028554318,7.552926567,10.09252809,12.60669672,15.08352502,30.12024123,27.79406751,31.8339314,40.82935245,46.84767312,54.01094194,56.57757821,57.90978551,63.50959886,69.35408524,71.40392982
Solomon Islands,0,,,,,0.02487191,0.268683585,0.391923246,0.508292797,0.494541498,0.481296806,0.468551964,0.501919843,0.555609882,0.649672673,0.844307573,1.646347989,2,3,4,5,6
Somalia,0,,,,,0,0.00150955,0.002948713,0.00716442,0.013910394,0.02,0.079039179,0.115614213,0.376198003,1.053454744,1.077327839,1.100216368,1.122235622,1.142687372,1.160610542,,1.25
Somaliland,,,,,,,,,,,,,,,,,,,,,,
South Africa,0,0.013933413,0.040936028,0.120229818,0.261473625,0.71622353,0.88767041,1.709750005,3.018346507,4.23265533,5.440990138,6.4144299,6.78137229,7.085929465,8.52656707,7.582837445,7.702759828,8.163177952,8.520936254,10.08745979,18.05095499,20.94737044
South Ossetia,,,,,,,,,,,,,,,,,,,,,,
Spain,0.012886396,0.025712694,0.076882019,0.127735127,0.280238016,0.381185686,1.333241454,2.805177933,4.363311726,7.089057571,13.63350229,18.16945887,20.41504851,39.96353569,44.05165064,47.87701896,50.25747585,54.77284732,59.06431098,62.0323561,65.8085951,67.92150756
Sri Lanka,0,,,,0.002796165,0.00551271,0.05447815,0.161241838,0.292029764,0.3402619,0.63531332,0.799092078,1.062252994,1.473555761,1.459226689,1.810158472,2.563643333,3.925166112,5.873672365,8.874086394,12.12024345,15.12678662
Sudan,0,,,,0,0,0,0.001231819,0.004805071,0.008794581,0.025785032,0.140185224,0.439477639,0.538471703,0.791561615,1.292040678,8.092033734,8.66,10.16,,,
Suriname,0,,,,,0.114720735,0.226306297,1.003086936,1.670148436,1.891871357,2.506411052,3.064448389,4.161568745,4.719875395,6.076047814,6.403086288,9.499626942,14.11,21.06,31.36,31.59,32
Svalbard,,,,,,,,,,,,,,,,,,,,,,
Swaziland,0,,,,,0.00103175,0.050399009,0.088545986,0.098059931,0.488768247,0.974797312,1.361328625,1.940469619,2.614694822,3.480959955,4.014846856,4.055199112,4.553788445,7.637392113,10.00950092,12.40547968,20.43165813
Sweden,0.584191657,1.160432455,1.49970134,1.720367003,3.416397907,5.098030019,9.05016995,23.74906276,33.47384966,41.40758542,45.62608381,51.65546456,70.38713389,78.92827577,83.74480322,84.82786741,87.85859887,82.12906929,90.16824415,91.12326108,90.0149806,90.88204559
Switzerland,0.592007952,1.169566424,1.736257531,2.152589367,2.707338476,3.540915839,4.542652624,15.10335915,24.81027927,33.96549072,46.99286172,54.93334771,61.14901425,64.81682967,67.53948432,69.89161667,75.54236782,76.89836134,78.42877172,80.01265192,82.16505353,82.98773087
Syria,0,0,0,0,0,0,0,0.032607814,0.063687286,0.124295462,0.18169858,0.35375913,2.093101019,3.397972614,4.321593778,5.648106049,7.857380269,,14.04026739,17.3134951,20.66355082,22.44134742
Taiwan,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,0,,,,,,,,,0.032791858,0.048599595,0.051259133,0.055462827,0.064583777,0.077479907,0.298690024,3.772406207,7.197619518,8.78,10.07,11.55,13.03
Tanzania,0,,,,,,0.001622155,0.007900283,0.009244125,0.075130889,0.11719444,0.171300351,0.222484414,0.676962857,0.877574971,4.3,5.8,7.2,9,10,11,12
Thailand,0,5.22334E-05,0.000343725,0.013580966,0.038614321,0.074825338,0.115472136,0.360522185,1.091218985,2.426242432,3.689041279,5.556326121,7.531250335,9.299027238,10.67730332,15.02600436,17.16071472,20.03,18.2,20.1,22.4,23.7
Timor-Leste,0,,,,,,,,,,,,0,,,0.101775898,0.119402805,0.142945067,0.16415625,0.183551978,0.206664452,0.883126339
Togo,0,0,0,0,0,0,0.010929139,0.211139465,0.305583935,0.590363264,0.8,0.9,1,1.2,1.5,1.8,2,2.2,2.4,2.6,3,3.5
Tokelau,,,,,,,,,,,,,,,,,,,,,,
Tonga,0,,,,,0.12323112,0.163793456,0.510866122,0.765134358,1.01796712,2.434398044,2.825371839,2.907297316,2.985817368,3.952373895,4.907782762,5.853944095,7.179865329,8.110769944,10,16,25
Transnistria,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,0,,,,,0.158149899,0.393080525,1.173174658,2.724825339,5.814250962,7.721411474,15.38462722,21.99867548,25.97176411,27.02427008,28.97671243,30.00374858,32.3,34.8,44.3,48.5,55.2
Tunisia,0,,,,0.00737391,0.011164495,0.02750633,0.043410003,0.107154134,1.58665725,2.719853824,4.241474813,5.17356155,6.413257503,8.427156999,9.542558429,12.84527495,16.94157444,27.31257513,33.82683074,36.56220637,38.80788742
Turkey,0,,,0.008457732,0.049869182,0.081691205,0.192724936,0.473695432,0.698805129,2.292117685,3.761685035,5.189481461,11.38,12.33,14.58,15.46,18.24,28.63,34.37,36.4,39.82,42.1
Turkmenistan,0,,,,,,,,,0.04502077,0.133282183,0.175209518,0.302132016,0.425182632,0.754053983,0.997256559,1.319573118,1.406360688,1.75,1.95,3,5
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,0,,,,,,,,,,5.241639585,,,,,,,10,15,20,25,30
Uganda,0,,,,,0.002863471,0.004625948,0.010319341,0.065289465,0.10554394,0.163714063,0.237945087,0.384093505,0.46484984,0.71997068,1.742205503,2.529363038,3.671965351,7.9,9.78,12.5,13.01354333
Ukraine,0,,,0.000767551,0.013498423,0.042757313,0.098032298,0.19783447,0.299371706,0.402878023,0.712046852,1.232764774,1.867271189,3.136955947,3.476509521,3.735338316,4.487252345,6.51800412,10.93659987,17.76851342,23.08545685,30.2545942
United Arab Emirates,0,,,,,0.102939175,0.375393534,3.295592694,6.908302986,14.94269899,23.62530088,26.2717542,28.31648531,29.47795341,30.13129617,40,52,61,63,64,68,70
United Kingdom,0.087304793,0.174063236,0.260366482,0.519429037,1.036122818,1.894455542,4.122935802,7.385629066,13.67018994,21.28962755,26.8133757,33.47495977,56.49348266,64.86144736,65.63621644,69.9749171,68.75470828,74.9785125,78.23268889,77.79971962,77.75462928,81.70733772
United States,0.796410628,1.176189103,1.736045578,2.279401619,4.869119182,9.238674204,16.41933053,21.615318,30.10760446,35.88213093,43.13014069,49.18000685,58.95751701,61.94868178,65.03644256,68.26789985,69.20484774,75.26226292,74.21781837,71.21181627,74.24740664,78.23621919
Uruguay,0,,,,0.062474386,0.310128582,1.853715884,3.376790254,7.022250618,10.02877517,10.59722669,11.17674835,11.47763645,16.03161712,17.16457052,20.19031612,29.51517964,34.11888062,39.44044757,41.95561885,46.5686753,51.57414625
USSR,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,0,,,,,0.001536098,0.004307667,0.010574654,0.020820389,0.030887455,0.486807516,0.599438344,1.08207794,1.906744818,2.578060219,3.315452107,6.322126109,7.389077547,8.916912779,16.66545532,19.21736409,28.572794
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,0,,,,,,0.056845636,0.139505815,0.274185942,0.538300048,2.108336891,2.830572239,3.510038711,3.903295845,4.746602619,5.082333808,5.850585059,6.8,7.269119923,7.5,8,
Venezuela,0,,0.012068234,0.041552957,0.055452734,0.122169988,0.248230218,0.391014167,1.384660603,2.842111834,3.364752597,4.64455429,4.920831084,7.51818989,8.427950124,12.59414786,15.27975103,20.91369517,25.99347456,32.85657959,37.55903642,40.43827297
West Bank and Gaza,0,,,,,,,,,,1.183223069,1.939878166,3.230850875,4.235793399,4.440377019,15.91941191,18.09407765,20.60171729,23.67273319,32.31917086,43.4392451,56.81903268
West Germany,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,
Vietnam,0,,,,,,0.000138426,0.004078646,0.01334963,0.131105043,0.257939664,1.281889036,1.877433223,3.822968065,7.719857292,12.85862486,17.41249606,20.94923209,24.15312715,26.82041433,30.9746472,35.4500831
Virgin Islands (U.S.),0,,,,0.931380562,2.781193152,4.62366878,6.91938405,9.210891905,11.04605157,13.79880342,18.37238646,27.49695659,27.42253915,27.35622937,27.28543903,27.24246718,27.23253572,27.23596985,27.2485607,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,
Yemen,0,,,,,,0.000621081,0.015025295,0.023323243,0.056628675,0.082500387,0.090802459,0.518796032,0.6047341,0.881222989,1.048597934,1.247824049,5.01,6.89,9.96,12.35,14.905
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,
Zambia,0,,,,0.006776105,0.008783623,0.009069176,0.009329658,0.030226183,0.147053172,0.191071643,0.233129556,0.477750907,0.980483039,2.013549532,2.851752261,4.159913394,4.87,5.55,6.31,10.12544938,11.5
Zimbabwe,0,,,,0.00173928,0.00768354,0.016790484,0.033080327,0.081648476,0.161675528,0.401433535,0.799846046,3.994356135,6.394786458,6.564045027,8.015978089,9.791841502,10.85,11.4,11.36,11.5,15.7
Åland,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,
Bonaire,,,,,,,,,,,,,,,,,,,,,,
Sark,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,,,,,,,,,,,,,,,,,,,,,,
Saint Eustatius,,,,,,,,,,,,,,,,,,,,,,
Saba,,,,,,,,,,,,,,,,,,,,,,
